Destination Port,Flow Duration,Packet Length Mean,Flow Bytes/s,Total Fwd Packets,Label
80,16045,257.7777778,144593.3313,5,DoS Slowhttptest
80,109998919,65.625,4.772774176,4,DoS Slowhttptest
80,109993343,66.375,4.827564883,4,DoS Slowhttptest
80,109988359,66.875,4.864151123,4,DoS Slowhttptest
80,109982960,66.25,4.818928314,4,DoS Slowhttptest
80,109977744,66.25,4.819156865,4,DoS Slowhttptest
80,109967320,65.75,4.783239239,4,DoS Slowhttptest
80,109962098,66.125,4.810748518,4,DoS Slowhttptest
80,109972494,66.625,4.846666476,4,DoS Slowhttptest
80,109956889,66.25,4.820070892,4,DoS Slowhttptest
80,109951738,66.25,4.820296701,4,DoS Slowhttptest
80,109946495,66.375,4.829621899,4,DoS Slowhttptest
80,109941264,66.0,4.802564395,4,DoS Slowhttptest
80,109936031,66.875,4.866466391,4,DoS Slowhttptest
80,83400021,247.6190476,62.3501042,18,DoS Slowhttptest
80,83385834,247.6190476,62.36071225,18,DoS Slowhttptest
80,115458260,236.3636364,45.03792106,19,DoS Slowhttptest
80,115453289,236.3636364,45.03986023,19,DoS Slowhttptest
80,109930853,66.5,4.839405731,4,DoS Slowhttptest
80,109925630,67.375,4.903315087,4,DoS Slowhttptest
80,109920456,65.5,4.767083572,4,DoS Slowhttptest
80,109910016,66.875,4.867618252,4,DoS Slowhttptest
80,109915271,67.375,4.903777201,4,DoS Slowhttptest
80,109904796,66.125,4.813256739,4,DoS Slowhttptest
80,109899658,66.625,4.849878605,4,DoS Slowhttptest
80,109894637,66.0,4.804602066,4,DoS Slowhttptest
80,109889203,66.875,4.868540179,4,DoS Slowhttptest
80,109884011,66.5,4.841468701,4,DoS Slowhttptest
80,109873762,67.375,4.90562979,4,DoS Slowhttptest
80,109878782,65.75,4.787093472,4,DoS Slowhttptest
80,109868358,67.0,4.878565674,4,DoS Slowhttptest
80,109863185,67.125,4.887897616,4,DoS Slowhttptest
80,109857973,66.5,4.842616202,4,DoS Slowhttptest
80,109852751,66.5,4.842846403,4,DoS Slowhttptest
80,109847601,66.5,4.84307345,4,DoS Slowhttptest
80,109842402,66.5,4.84330268,4,DoS Slowhttptest
80,109837154,65.75,4.788907768,4,DoS Slowhttptest
80,109831978,66.75,4.861971984,4,DoS Slowhttptest
80,109826816,65.5,4.771148059,4,DoS Slowhttptest
80,109821590,67.125,4.88974891,4,DoS Slowhttptest
80,109816399,66.125,4.817131183,4,DoS Slowhttptest
80,109805991,67.125,4.890443546,4,DoS Slowhttptest
80,109811200,66.25,4.826465789,4,DoS Slowhttptest
80,109795543,66.0,4.808938374,4,DoS Slowhttptest
80,109800763,65.75,4.790494944,4,DoS Slowhttptest
80,109785148,66.25,4.827611108,4,DoS Slowhttptest
80,109790321,66.5,4.845600187,4,DoS Slowhttptest
80,109780138,65.75,4.791394961,4,DoS Slowhttptest
